Country,Year,Continent,Population,GDP per capita,Obesity among adults
Albania,2000,Europe,3089027,3860.804627,12.8
Albania,2001,Europe,3060173,4299.546493,13.3
Albania,2002,Europe,3051010,4661.402695,13.9
Albania,2003,Europe,3039616,5000.049363,14.4
Albania,2004,Europe,3026939,5427.732662,15.0
Albania,2005,Europe,3011487,5865.301904,15.6
Albania,2006,Europe,2992547,6566.572828,16.2
Albania,2007,Europe,2970017,7283.342638,16.9
Albania,2008,Europe,2947314,8228.348041,17.5
Albania,2009,Europe,2927519,8813.029461,18.1
Albania,2010,Europe,2913021,9628.721962,18.7
Albania,2011,Europe,2905195,10207.76757,19.3
Albania,2012,Europe,2900401,10526.25918,19.9
Albania,2013,Europe,2895092,10570.96373,20.5
Albania,2014,Europe,2889104,11259.26751,21.1
Albania,2015,Europe,2880703,11658.90552,21.7
Algeria,2000,Africa,31042238,8436.99096,15.0
Algeria,2001,Africa,31451513,8770.253502,15.5
Algeria,2002,Africa,31855110,9286.56088,16.1
Algeria,2003,Africa,32264159,10022.96478,16.7
Algeria,2004,Africa,32692153,10594.04572,17.3
Algeria,2005,Africa,33149720,11411.19178,17.9
Algeria,2006,Africa,33641007,11788.56019,18.6
Algeria,2007,Africa,34166976,12326.07701,19.2
Algeria,2008,Africa,34730604,12655.21847,19.9
Algeria,2009,Africa,35333882,12719.17915,20.7
Algeria,2010,Africa,35977451,13096.88473,21.4
Algeria,2011,Africa,36661438,13500.04479,22.2
Algeria,2012,Africa,37383899,13303.32752,23.1
Algeria,2013,Africa,38140135,13056.80259,23.9
Algeria,2014,Africa,38923688,13003.26686,24.8
Algeria,2015,Africa,39728020,12015.64053,25.7
Angola,2000,Africa,16395477,3271.270265,3.0
Angola,2001,Africa,16945753,3372.470708,3.1
Angola,2002,Africa,17519418,3765.608654,3.3
Angola,2003,Africa,18121477,3823.350144,3.5
Angola,2004,Africa,18758138,4208.038928,3.7
Angola,2005,Africa,19433604,4818.776561,3.9
Angola,2006,Africa,20149905,5344.22385,4.1
Angola,2007,Africa,20905360,6031.482423,4.3
Angola,2008,Africa,21695636,6584.875135,4.6
Angola,2009,Africa,22514275,6441.035242,4.8
Angola,2010,Africa,23356247,6588.835076,5.1
Angola,2011,Africa,24220660,6710.750725,5.3
Angola,2012,Africa,25107925,7412.967137,5.6
Angola,2013,Africa,26015786,7682.475646,5.9
Angola,2014,Africa,26941773,8179.297828,6.2
Angola,2015,Africa,27884380,7337.569901,6.5
Argentina,2000,South America,36870796,11605.59228,20.5
Argentina,2001,South America,37275644,11220.65623,20.9
Argentina,2002,South America,37681743,10044.61804,21.4
Argentina,2003,South America,38087866,11029.15507,21.8
Argentina,2004,South America,38491970,12218.20932,22.3
Argentina,2005,South America,38892924,13575.3709,22.8
Argentina,2006,South America,39289876,14967.625,23.2
Argentina,2007,South America,39684303,16590.24897,23.7
Argentina,2008,South America,40080159,17420.68009,24.2
Argentina,2009,South America,40482786,16330.6328,24.7
Argentina,2010,South America,40788453,18063.91434,25.3
Argentina,2011,South America,41261490,19322.22712,25.8
Argentina,2012,South America,41733271,19641.35286,26.3
Argentina,2013,South America,42202935,20131.68042,26.9
Argentina,2014,South America,42669500,19683.77151,27.4
Argentina,2015,South America,43131966,20105.19899,28.0
Armenia,2000,Asia,3069597,2655.323984,14.4
Armenia,2001,Asia,3050686,2994.248091,14.6
Armenia,2002,Asia,3033976,3461.274065,14.9
Armenia,2003,Asia,3017938,4045.110743,15.1
Armenia,2004,Asia,3000715,4616.180285,15.4
Armenia,2005,Asia,2981262,5458.089259,15.7
Armenia,2006,Asia,2958301,6418.636417,16.0
Armenia,2007,Asia,2932615,7560.868364,16.3
Armenia,2008,Asia,2907615,8308.414216,16.7
Armenia,2009,Asia,2888094,7231.220897,17.0
Armenia,2010,Asia,2877314,7507.144766,17.5
Armenia,2011,Asia,2876536,8025.458485,17.9
Armenia,2012,Asia,2884239,9364.375299,18.5
Armenia,2013,Asia,2897593,9835.802461,19.0
Armenia,2014,Asia,2912403,10036.88984,19.6
Armenia,2015,Asia,2925559,9969.664854,20.2
Australia,2000,Oceania,19153000,26343.0767,21.0
Australia,2001,Oceania,19413000,27439.82779,21.7
Australia,2002,Oceania,19651400,28768.72863,22.3
Australia,2003,Oceania,19895400,29807.40956,22.9
Australia,2004,Oceania,20127400,31407.46145,23.5
Australia,2005,Oceania,20394800,32653.40162,24.0
Australia,2006,Oceania,20697900,34369.61939,24.6
Australia,2007,Oceania,20827600,36599.85073,25.1
Australia,2008,Oceania,21249200,37499.52513,25.7
Australia,2009,Oceania,21691700,40281.79967,26.2
Australia,2010,Oceania,22031750,39336.66348,26.7
Australia,2011,Oceania,22340024,42003.15806,27.3
Australia,2012,Oceania,22733465,42836.67186,27.9
Australia,2013,Oceania,23128129,45906.44004,28.5
Australia,2014,Oceania,23475686,46880.89518,29.1
Australia,2015,Oceania,23815995,46248.61646,29.8
Austria,2000,Europe,8011566,29376.01974,15.0
Austria,2001,Europe,8042293,29702.79753,15.4
Austria,2002,Europe,8081957,31178.69333,15.8
Austria,2003,Europe,8121423,32144.24181,16.2
Austria,2004,Europe,8171966,33773.82578,16.6
Austria,2005,Europe,8227829,35013.71404,17.0
Austria,2006,Europe,8268641,37662.18517,17.5
Austria,2007,Europe,8295487,39430.60917,17.9
Austria,2008,Europe,8321496,41316.22518,18.3
Austria,2009,Europe,8343323,40918.13212,18.7
Austria,2010,Europe,8363404,42009.43853,19.2
Austria,2011,Europe,8391643,44452.73275,19.6
Austria,2012,Europe,8429991,46457.34578,20.1
