country,cuisines,restaurant_count,percentage,average_rating,total_reviews,obesity_rate,GDP per capita
Austria,Afghani,9,0.0496113775425831,3.7777777777777777,49.0,21.5,49865.90394
Austria,African,9,0.0496113775425831,4.611111111111111,83.0,21.5,49865.90394
Austria,Albanian,1,0.0055123752825092,4.5,2.0,21.5,49865.90394
Austria,Algerian,1,0.0055123752825092,4.0,2.0,21.5,49865.90394
Austria,American,327,1.8025467173805192,4.0504587155963305,8182.0,21.5,49865.90394
Austria,Apulian,2,0.0110247505650184,3.0,48.0,21.5,49865.90394
Austria,Arabic,31,0.1708836337577862,4.338709677419355,244.0,21.5,49865.90394
Austria,Argentinian,12,0.0661485033901108,4.25,637.0,21.5,49865.90394
Austria,Armenian,4,0.0220495011300369,4.0,199.0,21.5,49865.90394
Austria,Asian,841,4.635907612590265,4.093935790725327,20408.0,21.5,49865.90394
Austria,Assyrian,1,0.0055123752825092,4.5,1.0,21.5,49865.90394
Austria,Australian,11,0.0606361281076015,4.318181818181818,127.0,21.5,49865.90394
Austria,Austrian,8446,46.55752163607298,4.187366800852475,189583.0,21.5,49865.90394
Austria,Azerbaijani,1,0.0055123752825092,4.0,20.0,21.5,49865.90394
Austria,Balti,8,0.0440990022600738,4.0,40.0,21.5,49865.90394
Austria,Bangladeshi,2,0.0110247505650184,5.0,3.0,21.5,49865.90394
Austria,Bar,975,5.374565900446503,4.17025641025641,30506.0,21.5,49865.90394
Austria,Barbecue,215,1.1851606857394852,4.148837209302326,5518.0,21.5,49865.90394
Austria,Beer restaurants,31,0.1708836337577862,4.112903225806452,2714.0,21.5,49865.90394
Austria,Beijing cuisine,1,0.0055123752825092,3.5,3.0,21.5,49865.90394
Austria,Belgian,5,0.0275618764125461,4.4,40.0,21.5,49865.90394
Austria,Brazilian,6,0.0330742516950554,4.416666666666667,39.0,21.5,49865.90394
Austria,Brew Pub,90,0.496113775425831,4.122222222222222,6450.0,21.5,49865.90394
Austria,British,13,0.07166087867262,4.423076923076923,365.0,21.5,49865.90394
Austria,Burmese,1,0.0055123752825092,4.0,2.0,21.5,49865.90394
Austria,Cafe,1938,10.682983297502895,4.199174406604747,51987.0,21.5,49865.90394
Austria,Cajun & Creole,2,0.0110247505650184,4.5,6.0,21.5,49865.90394
Austria,Cambodian,1,0.0055123752825092,5.0,9.0,21.5,49865.90394
Austria,Campania,25,0.1378093820627308,4.26,1113.0,21.5,49865.90394
Austria,Caribbean,6,0.0330742516950554,3.9166666666666665,165.0,21.5,49865.90394
Austria,Caucasian,1,0.0055123752825092,2.0,1.0,21.5,49865.90394
Austria,Central American,24,0.1322970067802216,3.7916666666666665,1191.0,21.5,49865.90394
Austria,Central Asian,11,0.0606361281076015,4.227272727272728,161.0,21.5,49865.90394
Austria,Central European,2718,14.982636017860097,4.18635025754231,125161.0,21.5,49865.90394
Austria,Central-Italian,17,0.0937103798026569,4.294117647058823,1939.0,21.5,49865.90394
Austria,Chilean,1,0.0055123752825092,5.0,18.0,21.5,49865.90394
Austria,Chinese,519,2.860922771622292,3.959537572254335,5395.0,21.5,49865.90394
Austria,Colombian,2,0.0110247505650184,4.25,118.0,21.5,49865.90394
Austria,Contemporary,305,1.681274461165316,4.3,8193.0,21.5,49865.90394
Austria,Croatian,74,0.4079157709056832,4.175675675675675,1041.0,21.5,49865.90394
Austria,Cuban,2,0.0110247505650184,4.5,19.0,21.5,49865.90394
Austria,Czech,10,0.0551237528250923,4.4,236.0,21.5,49865.90394
Austria,Danish,3,0.0165371258475277,4.166666666666667,22.0,21.5,49865.90394
Austria,Deli,246,1.3560443194972711,4.363821138211383,2356.0,21.5,49865.90394
Austria,Diner,594,3.2743509178104846,4.322390572390573,5475.0,21.5,49865.90394
Austria,Dining bars,27,0.1488341326277492,4.12962962962963,1608.0,21.5,49865.90394
Austria,Dutch,5,0.0275618764125461,4.2,69.0,21.5,49865.90394
Austria,Eastern European,44,0.2425445124304062,4.136363636363637,1133.0,21.5,49865.90394
Austria,Ecuadorean,1,0.0055123752825092,3.5,15.0,21.5,49865.90394
Austria,Egyptian,7,0.0385866269775646,3.857142857142857,82.0,21.5,49865.90394
Austria,Ethiopian,5,0.0275618764125461,4.3,106.0,21.5,49865.90394
Austria,European,9578,52.79753045587343,4.175923992482773,214198.0,21.5,49865.90394
Austria,Fast food,453,2.497106002976683,3.921633554083885,7892.0,21.5,49865.90394
Austria,French,101,0.5567499035334326,4.326732673267327,1800.0,21.5,49865.90394
Austria,Fruit parlours,1,0.0055123752825092,5.0,3.0,21.5,49865.90394
Austria,Fujian,1,0.0055123752825092,5.0,4.0,21.5,49865.90394
Austria,Fusion,167,0.920566672179042,4.341317365269461,5734.0,21.5,49865.90394
Austria,Gastropub,363,2.000992227550852,4.169421487603306,7962.0,21.5,49865.90394
Austria,Georgian,2,0.0110247505650184,3.5,102.0,21.5,49865.90394
Austria,German,1382,7.618102640427759,4.1421852387843705,56132.0,21.5,49865.90394
Austria,Greek,189,1.041838928394245,4.076719576719577,3402.0,21.5,49865.90394
Austria,Grill,435,2.3978832478915164,4.268965517241379,10256.0,21.5,49865.90394
Austria,Hawaiian,11,0.0606361281076015,4.136363636363637,34.0,21.5,49865.90394
Austria,Healthy,300,1.65371258475277,4.401666666666666,9772.0,21.5,49865.90394
Austria,Hungarian,33,0.1819083843228047,4.363636363636363,739.0,21.5,49865.90394
Austria,Indian,150,0.826856292376385,4.173333333333333,7844.0,21.5,49865.90394
Austria,Indonesian,6,0.0330742516950554,4.166666666666667,23.0,21.5,49865.90394
Austria,International,1098,6.052588060195138,4.210837887067395,36896.0,21.5,49865.90394
Austria,Irish,18,0.0992227550851662,4.25,919.0,21.5,49865.90394
Austria,Israeli,23,0.1267846314977123,4.065217391304348,1307.0,21.5,49865.90394
Austria,Italian,1845,10.170332396229536,4.0262872628726285,39928.0,21.5,49865.90394
