Country,Year,Continent,Population,GDP per capita,Obesity among adults
Albania,2000,Europe,3089027,3860.804627,12.8
Albania,2001,Europe,3060173,4299.546493,13.3
Albania,2002,Europe,3051010,4661.402695,13.9
Albania,2003,Europe,3039616,5000.049363,14.4
Albania,2004,Europe,3026939,5427.732662,15.0
Albania,2005,Europe,3011487,5865.301904,15.6
Albania,2006,Europe,2992547,6566.572828,16.2
Albania,2007,Europe,2970017,7283.342638,16.9
Albania,2008,Europe,2947314,8228.348041,17.5
Albania,2009,Europe,2927519,8813.029461,18.1
Albania,2010,Europe,2913021,9628.721962,18.7
Albania,2011,Europe,2905195,10207.76757,19.3
Albania,2012,Europe,2900401,10526.25918,19.9
Albania,2013,Europe,2895092,10570.96373,20.5
Albania,2014,Europe,2889104,11259.26751,21.1
Albania,2015,Europe,2880703,11658.90552,21.7
Austria,2000,Europe,8011566,29376.01974,15.0
Austria,2001,Europe,8042293,29702.79753,15.4
Austria,2002,Europe,8081957,31178.69333,15.8
Austria,2003,Europe,8121423,32144.24181,16.2
Austria,2004,Europe,8171966,33773.82578,16.6
Austria,2005,Europe,8227829,35013.71404,17.0
Austria,2006,Europe,8268641,37662.18517,17.5
Austria,2007,Europe,8295487,39430.60917,17.9
Austria,2008,Europe,8321496,41316.22518,18.3
Austria,2009,Europe,8343323,40918.13212,18.7
Austria,2010,Europe,8363404,42009.43853,19.2
Austria,2011,Europe,8391643,44452.73275,19.6
Austria,2012,Europe,8429991,46457.34578,20.1
Austria,2013,Europe,8479823,47922.04912,20.5
Austria,2014,Europe,8546356,48799.71547,21.0
Austria,2015,Europe,8642699,49865.90394,21.5
Belarus,2000,Europe,9979610,5801.75813,19.9
Belarus,2001,Europe,9928549,6244.747744,20.2
Belarus,2002,Europe,9865548,6704.592279,20.6
Belarus,2003,Europe,9796749,7369.845906,20.9
Belarus,2004,Europe,9730146,8491.894839,21.3
Belarus,2005,Europe,9663915,9647.121181,21.7
Belarus,2006,Europe,9604924,11006.45591,22.1
Belarus,2007,Europe,9560953,12332.50292,22.4
Belarus,2008,Europe,9527985,13898.99968,22.8
Belarus,2009,Europe,9504583,14050.57156,23.3
Belarus,2010,Europe,9483836,15361.83171,23.7
Belarus,2011,Europe,9461643,16563.20141,24.1
Belarus,2012,Europe,9446836,18105.28672,24.6
Belarus,2013,Europe,9443211,18994.19019,25.1
Belarus,2014,Europe,9448515,19008.06102,25.6
Belarus,2015,Europe,9461076,18095.66518,26.1
Belgium,2000,Europe,10251250,27784.5715,18.6
Belgium,2001,Europe,10286570,28788.06284,19.0
Belgium,2002,Europe,10332785,30282.28865,19.4
Belgium,2003,Europe,10376133,30932.85251,19.7
Belgium,2004,Europe,10421137,32063.08032,20.1
Belgium,2005,Europe,10478617,33177.89095,20.5
Belgium,2006,Europe,10547958,35259.18671,20.8
Belgium,2007,Europe,10625700,36791.20043,21.1
Belgium,2008,Europe,10709973,37883.33194,21.5
Belgium,2009,Europe,10796493,37749.50954,21.8
Belgium,2010,Europe,10895586,39840.0882,22.2
Belgium,2011,Europe,11038264,40942.37271,22.5
Belgium,2012,Europe,11106932,42290.76205,22.9
Belgium,2013,Europe,11159407,43671.11959,23.3
Belgium,2014,Europe,11209057,44929.68559,23.7
Belgium,2015,Europe,11274196,46200.90445,24.1
Bulgaria,2000,Europe,8170172,6421.959135,20.0
Bulgaria,2001,Europe,8009142,6958.978417,20.3
Bulgaria,2002,Europe,7837161,7786.448422,20.7
Bulgaria,2003,Europe,7775327,8416.983667,21.1
Bulgaria,2004,Europe,7716860,9201.504128,21.5
Bulgaria,2005,Europe,7658972,10291.43777,22.0
Bulgaria,2006,Europe,7601022,11408.11806,22.4
Bulgaria,2007,Europe,7545338,12811.35877,22.9
Bulgaria,2008,Europe,7492561,14335.7146,23.3
Bulgaria,2009,Europe,7444443,14181.15468,23.8
Bulgaria,2010,Europe,7395599,14956.48718,24.3
Bulgaria,2011,Europe,7348328,15747.08538,24.8
Bulgaria,2012,Europe,7305888,16327.87261,25.3
Bulgaria,2013,Europe,7265115,16647.0064,25.8
Bulgaria,2014,Europe,7223938,17616.91318,26.4
Bulgaria,2015,Europe,7177991,18391.92747,26.9
Croatia,2000,Europe,4468302,10683.60352,19.2
Croatia,2001,Europe,4299642,11655.64408,19.6
Croatia,2002,Europe,4302174,12769.77529,20.0
Croatia,2003,Europe,4303399,13682.12212,20.4
Croatia,2004,Europe,4304600,14675.26145,20.9
Croatia,2005,Europe,4310145,15436.64441,21.3
Croatia,2006,Europe,4311159,17595.75721,21.8
Croatia,2007,Europe,4310217,19493.23508,22.3
Croatia,2008,Europe,4309705,20921.54056,22.8
Croatia,2009,Europe,4305181,20149.50957,23.3
Croatia,2010,Europe,4295427,19967.21373,23.8
Croatia,2011,Europe,4280622,21014.7388,24.4
Croatia,2012,Europe,4267558,21397.48678,24.9
Croatia,2013,Europe,4255689,22081.09779,25.4
Croatia,2014,Europe,4238389,22325.07659,26.0
Croatia,2015,Europe,4203604,23301.27286,26.5
Cyprus,2000,Europe,943288,21288.50977,16.5
Cyprus,2001,Europe,960274,22861.88477,16.9
Cyprus,2002,Europe,976968,23556.4082,17.2
Cyprus,2003,Europe,993562,24279.67773,17.6
Cyprus,2004,Europe,1010410,25944.85352,18.0
Cyprus,2005,Europe,1027657,27763.1543,18.3
Cyprus,2006,Europe,1045508,30015.41406,18.7
Cyprus,2007,Europe,1063708,32881.54688,19.0
Cyprus,2008,Europe,1081568,34830.23438,19.4
Cyprus,2009,Europe,1098089,33884.87891,19.8
